Timestamp,Gyr.X,Gyr.Y,Gyr.Z,Axl.X,Axl.Y,Axl.Z,Mag.X,Mag.Y,Mag.Z,Temp,Hum
1740564257381,6.2825,4.0075,-3.29,-630.862,-640.866,432.856,192.3414,-173.9258,-329.4358,24.06223,21.21861
1740564257383,6.04625,3.85,-3.24625,-631.838,-638.914,433.954,196.4338,-165.1564,-344.7822,24.06223,21.21861
1740564257384,6.11625,3.9725,-3.12375,-626.47,-635.986,431.27,189.4183,-166.3256,-345.9514,24.06223,21.21861
1740564257385,5.81875,3.99875,-3.12375,-626.836,-630.74,432.124,190.0029,-168.0795,-348.1438,24.06223,21.21861
1740564257387,5.635,3.98125,-3.0975,-620.37,-636.108,435.906,187.0798,-174.5104,-346.8284,24.06223,21.21861
1740564257388,5.4075,4.2525,-2.96625,-620.492,-634.888,438.59,191.1722,-168.6641,-338.2052,24.06223,21.21861
1740564257389,5.11,4.36625,-2.94,-615.246,-632.326,440.664,192.3414,-172.7565,-344.636,24.06223,21.21861
1740564257390,5.04875,4.66375,-3.08,-610.854,-631.106,445.178,190.2952,-170.1257,-342.2975,24.06223,21.21861
1740564257392,4.73375,4.87375,-3.15,-605.73,-634.766,440.42,198.7723,-172.4642,-328.2666,24.06223,21.21861
1740564257393,4.55,5.1625,-3.2375,-603.168,-638.914,443.348,190.0029,-171.2949,-341.4206,24.06223,21.21861
1740564257394,4.19125,5.2675,-3.2375,-594.262,-639.646,435.906,196.4338,-168.9564,-351.0669,24.07557,21.23005
1740564257395,3.99875,5.425,-3.1325,-591.7,-644.282,430.172,194.6799,-177.4335,-351.0669,24.07557,21.23005
1740564257396,3.80625,5.60875,-3.22,-590.114,-647.82,424.804,194.3876,-175.6796,-353.6977,24.07557,21.23005
1740564257398,3.535,5.64375,-3.3775,-590.114,-653.432,425.292,194.3876,-172.4642,-342.736,24.07557,21.23005
1740564257399,3.45625,5.8275,-3.40375,-589.626,-653.676,426.146,194.6799,-164.2794,-351.3592,24.07557,21.23005
1740564257400,3.28125,5.78375,-3.52625,-590.846,-653.31,423.34,194.9722,-172.4642,-346.3899,24.07557,21.23005
1740564257401,3.05375,5.6875,-3.63125,-588.528,-658.678,424.316,194.3876,-167.4949,-344.7822,24.07557,21.23005
1740564257403,2.94,5.48625,-3.57875,-595.848,-658.678,431.026,194.9722,-166.9102,-337.6206,24.07557,21.23005
1740564257404,2.75625,5.38125,-3.675,-604.266,-655.018,435.418,191.7568,-166.0333,-340.6898,24.07557,21.23005
1740564257405,2.56375,5.2675,-3.75375,-612.44,-657.58,436.394,187.3721,-168.3718,-348.5823,24.07557,21.23005
1740564257407,2.45,5.145,-3.745,-613.416,-660.02,440.664,184.1567,-165.741,-336.0128,24.07557,21.23005
1740564257408,2.33625,4.87375,-3.75375,-612.44,-652.334,439.81,193.803,-168.6641,-350.9208,24.07557,21.23005
1740564257409,1.9775,4.7775,-3.78,-613.538,-657.092,441.03,189.126,-171.5872,-334.259,24.07557,21.23005
1740564257410,1.93375,5.005,-3.77125,-611.464,-660.996,439.81,201.4031,-168.9564,-337.9129,24.07557,21.23005
1740564257412,1.75875,5.20625,-4.13,-607.682,-658.922,440.664,194.9722,-167.7872,-331.0435,24.07557,21.23005
1740564257413,1.82,5.355,-4.12125,-596.824,-669.78,437.37,195.2645,-165.741,-343.1745,24.07557,21.23005
1740564257414,1.9075,5.5475,-4.3925,-588.894,-672.22,434.076,194.0953,-171.2949,-342.736,24.07557,21.23005
1740564257416,1.96,5.83625,-4.52375,-577.426,-678.32,428.22,190.0029,-163.6948,-350.19,24.07557,21.23005
1740564257416,2.12625,6.32625,-4.71625,-574.742,-681.492,416.752,192.926,-166.9102,-341.4206,24.07557,21.23005
1740564257418,2.17,6.58,-5.03125,-569.862,-686.372,404.552,187.9567,-169.2487,-333.2359,24.07557,21.23005
1740564257419,2.49375,7.14875,-5.0575,-569.496,-691.74,396.744,189.126,-168.9564,-335.4282,24.07557,21.23005
1740564257420,2.7125,7.63,-4.97,-567.788,-695.156,391.498,192.3414,-167.7872,-332.9436,24.07557,21.23005
1740564257421,3.0275,8.12,-4.97875,-573.034,-700.524,382.958,184.1567,-173.6334,-344.4899,24.07557,21.23005
1740564257423,3.29,8.88125,-4.76,-582.062,-706.136,376.248,192.0491,-171.2949,-349.313,24.07557,21.23005
1740564257424,3.64,9.9225,-4.7425,-586.942,-706.014,370.27,191.4645,-169.2487,-344.3438,24.07557,21.23005
1740564257425,4.10375,10.94625,-4.62,-584.502,-709.308,367.708,190.2952,-166.9102,-347.7053,24.07557,21.23005
1740564257427,4.4975,12.145,-4.7425,-584.746,-703.574,361.608,187.9567,-176.8489,-350.19,24.07557,21.23005
1740564257428,4.55,13.53625,-4.655,-588.528,-700.158,361.486,184.7413,-170.418,-345.8053,24.07557,21.23005
1740564257429,4.89125,14.79625,-4.2175,-592.92,-702.964,368.928,183.5721,-168.6641,-337.6206,24.07557,21.23005
1740564257430,5.13625,15.785,-3.96375,-587.186,-709.796,370.148,186.4952,-167.7872,-347.2669,24.07557,21.23005
1740564257432,5.46875,16.68625,-3.94625,-592.798,-715.652,375.272,183.8644,-170.418,-341.1283,24.07557,21.23005
1740564257433,5.88875,17.29875,-3.9025,-589.87,-711.626,380.518,194.6799,-170.1257,-343.9053,24.07557,21.23005
1740564257434,6.4575,17.75375,-3.92,-591.578,-716.384,380.762,183.8644,-160.1871,-362.1748,24.07557,21.23005
1740564257436,6.67625,18.06875,-3.7275,-589.992,-717.482,381.372,189.7106,-170.418,-336.0128,24.07557,21.23005
1740564257437,7.0525,18.41875,-3.6225,-591.944,-721.508,378.322,185.3259,-173.6334,-340.836,24.07557,21.23005
1740564257438,7.56,18.83,-3.535,-585.844,-717.726,379.298,187.6644,-173.9258,-345.3668,24.07557,21.23005
1740564257439,8.09375,19.1625,-3.36875,-587.064,-720.898,375.638,187.0798,-167.7872,-340.3975,24.07557,21.23005
1740564257440,8.5925,19.74875,-3.1675,-584.258,-720.166,371.856,188.5414,-174.5104,-338.2052,24.07557,21.23005
1740564257441,8.79375,20.20375,-3.08,-579.866,-721.996,367.342,189.7106,-171.5872,-346.3899,24.07557,21.23005
1740564257443,9.1525,20.7375,-2.79125,-585.112,-721.508,371.002,192.0491,-170.1257,-347.8515,24.07557,21.23005
1740564257444,9.45875,21.105,-2.73,-579.744,-719.312,366.244,188.8337,-171.5872,-342.736,24.07557,21.23005
1740564257445,9.905,21.6125,-2.52,-574.742,-709.674,365.39,190.2952,-168.6641,-346.6823,24.07557,21.23005
1740564257447,10.08875,21.90125,-2.37125,-573.766,-712.724,362.462,195.2645,-171.2949,-356.9132,24.07557,21.23005
1740564257448,10.4125,21.90125,-2.3625,-570.838,-716.872,361.242,192.926,-168.6641,-337.4744,24.07557,21.23005
1740564257449,10.36,21.91875,-2.205,-577.06,-709.796,350.628,197.3107,-171.0026,-341.1283,24.07557,21.23005
1740564257450,10.82375,22.015,-1.995,-578.646,-712.968,350.018,188.8337,-172.7565,-339.959,24.07557,21.23005
1740564257452,11.0075,22.09375,-1.93375,-577.792,-718.458,347.456,193.5107,-175.6796,-348.5823,24.07557,21.23005
1740564257453,11.10375,22.16375,-1.67125,-574.986,-712.602,342.454,197.0184,-173.3411,-340.6898,24.07557,21.23005
1740564257454,11.06875,22.225,-1.6275,-582.062,-716.384,345.382,194.6799,-182.6951,-333.2359,24.07557,21.23005
1740564257455,11.31375,22.155,-1.5575,-581.94,-714.554,344.04,190.0029,-173.3411,-342.5899,24.07557,21.23005
1740564257457,11.2525,21.84875,-1.505,-587.064,-712.48,347.578,187.6644,-175.3873,-342.5899,24.07557,21.23005
1740564257458,11.48,21.65625,-1.4525,-591.334,-710.528,356.728,186.7875,-170.1257,-338.3513,24.07557,21.23005
1740564257459,11.26125,21.35875,-1.2425,-592.798,-704.428,359.778,195.2645,-169.2487,-337.1821,24.07557,21.23005
1740564257460,11.375,21.0875,-1.155,-596.092,-702.11,359.9,198.7723,-170.418,-343.7591,24.07557,21.23005
1740564257461,11.61125,21.07875,-0.93625,-599.142,-703.452,359.046,199.3569,-177.7258,-335.2821,24.07557,21.23005
1740564257463,11.68125,21.1575,-0.46375,-606.34,-701.134,367.83,198.1877,-166.9102,-336.159,24.07557,21.23005
1740564257464,11.48875,21.315,-0.245,-604.388,-697.596,366.732,199.6492,-173.9258,-340.1052,24.07557,21.23005
1740564257465,11.68125,21.5775,0.00875,-611.098,-690.398,370.636,190.8799,-170.418,-334.9897,24.07557,21.23005
1740564257467,11.52375,21.63875,0.1575,-606.096,-692.716,368.928,197.8953,-167.2026,-339.8129,24.07557,21.23005
1740564257468,11.305,21.805,0.4375,-606.34,-690.276,367.22,197.8953,-171.2949,-335.7205,24.07557,21.23005
1740564257469,11.2175,21.9625,0.56,-604.632,-690.642,362.584,200.2338,-171.2949,-330.6051,24.07557,21.23005
